active,quiet,arrested,tension
69,588,607,0.13039839494368166
39,603,622,0.13372488461061233
19,617,628,0.13682960829974758
12,632,620,0.14015609796667824
3,665,596,0.1474743752339257
0,686,578,0.1521314607676286
0,708,556,0.1570103122791269
0,724,540,0.16055856792385295
2,743,519,0.1647721215019651
0,773,491,0.1714251008358264
3,794,467,0.17608218636952933
16,796,452,0.1765257183251201
28,797,439,0.17674748430291545
19,810,435,0.17963044201425535
15,821,428,0.1820698677700045
21,827,416,0.18340046363677676
9,846,409,0.1876140172148889
3,871,390,0.19315816665977337
3,897,364,0.19892408208245316
14,901,349,0.19981114599363467
30,894,340,0.19825878414906703
47,871,346,0.19315816665977337
53,855,356,0.18960991101504732
69,834,361,0.1849528254813444
83,797,384,0.17674748430291545
73,791,400,0.1754168884361432
72,772,420,0.17120333485803105
84,746,434,0.16543741943535123
83,722,459,0.16011503596826218
57,721,486,0.15989326999046682
49,724,491,0.16055856792385295
40,735,489,0.16299799367960208
34,733,497,0.1625544617240113
21,740,503,0.16410682356857897
24,745,495,0.16521565345755584
18,752,494,0.16676801530212346
3,771,490,0.17098156888023563
5,792,467,0.17563865441393858
2,815,447,0.18073927190323225
3,834,427,0.1849528254813444
1,847,416,0.18783578319268432
4,867,393,0.19227110274859185
2,890,372,0.19737172023788552
10,914,340,0.20269410370497457
49,878,337,0.19471052850434098
65,862,337,0.19116227285961496
84,823,357,0.18251339972559527
114,771,379,0.17098156888023563
127,714,423,0.15834090814589916
112,693,459,0.15368382261219626
110,678,476,0.1503573329452656
82,670,512,0.14858320512290257
38,697,529,0.15457088652337778
19,727,518,0.16122386585723905
12,742,510,0.16455035552416972
3,773,488,0.1714251008358264
0,791,473,0.1754168884361432
0,817,447,0.181182803858823
6,843,415,0.1869487192815028
16,854,394,0.18938814503725196
17,857,390,0.19005344297063806
11,863,390,0.19138403883741031
13,866,385,0.19204933677079647
29,857,378,0.19005344297063806
33,838,393,0.1858398893925259
39,831,394,0.18428752754795824
47,812,405,0.1800739739698461
38,817,409,0.181182803858823
37,818,409,0.18140456983661835
31,825,408,0.182956931681186
27,818,419,0.18140456983661835
31,820,413,0.18184810179220914
28,823,413,0.18251339972559527
19,841,404,0.18650518732591204
28,837,399,0.18561812341473052
34,830,400,0.18406576157016288
51,821,392,0.1820698677700045
73,795,396,0.1763039523473247
114,732,418,0.16233269574621595
123,703,438,0.15590148239015
130,659,475,0.14614377936715345
93,664,507,0.14725260925613032
58,673,533,0.1492485030562887
26,699,539,0.1550144184789685
17,720,527,0.15967150401267144
6,740,518,0.16410682356857897
2,756,506,0.16765507921330497
0,774,490,0.1716468668136218
16,771,477,0.17098156888023563
32,763,469,0.16920744105787264
43,764,457,0.16942920703566802
69,736,459,0.16321975965739746
80,720,464,0.15967150401267144
82,701,481,0.15545795043455926
93,669,502,0.14836143914510722
84,652,528,0.14459141752258578
71,648,545,0.14370435361140427
56,650,558,0.14414788556699504
50,663,551,0.14703084327833496
33,679,552,0.15057909892306096
15,707,542,0.15678854630133152
0,742,522,0.16455035552416972
2,765,497,0.16965097301346338
1,796,467,0.1765257183251201
1,819,444,0.18162633581441376
2,840,422,0.18628342134811665
7,853,404,0.18916637905945657
25,844,395,0.18717048525929816
44,834,386,0.1849528254813444
53,820,391,0.18184810179220914
38,829,397,0.18384399559236753
21,839,404,0.1860616553703213
16,848,400,0.18805754917047968
13,864,387,0.1916058048152057
2,873,389,0.1936016986153641
5,883,376,0.19581935839331785
4,910,350,0.20180703979379305
13,906,345,0.20091997588261154
1,925,338,0.20513352946072372
23,916,325,0.2031376356605653
38,900,326,0.19958938001583929
69,851,344,0.1887228471038658
65,831,368,0.18428752754795824
58,822,384,0.18229163374779989
54,807,403,0.17896514408086922
36,813,415,0.18029573994764148
29,812,423,0.1800739739698461
35,805,424,0.17852161212527848
23,815,426,0.18073927190323225
26,817,421,0.181182803858823
23,818,423,0.18140456983661835
18,821,425,0.1820698677700045
9,829,426,0.18384399559236753
14,839,411,0.1860616553703213
13,845,406,0.18739225123709355
15,853,396,0.18916637905945657
6,857,401,0.19005344297063806
1,887,376,0.19670642230449936
0,909,355,0.20158527381599767
15,902,347,0.20003291197143003
30,891,343,0.19759348621568087
37,880,347,0.19515406045993178
38,871,355,0.19315816665977337
41,875,348,0.19404523057095488
40,873,351,0.1936016986153641
49,847,368,0.18783578319268432
47,842,375,0.18672695330370742
44,834,386,0.1849528254813444
38,829,397,0.18384399559236753
22,834,408,0.1849528254813444
18,850,396,0.18850108112607045
20,851,393,0.1887228471038658
5,868,391,0.1924928687263872
0,884,380,0.19604112437111323
3,886,375,0.196484656326704
2,898,364,0.19914584806024851
0,913,351,0.20247233772717918
1,924,339,0.20491176348292833
27,911,326,0.2020288057715884
57,872,335,0.19337993263756872
103,798,363,0.17696925028071084
116,751,397,0.1665462493243281
130,704,430,0.1561232483679454
122,686,456,0.1521314607676286
100,675,489,0.14969203501187944
70,674,520,0.14947026903408409
46,678,540,0.1503573329452656
24,692,548,0.15346205663440088
4,719,541,0.15944973803487605
4,732,528,0.16233269574621595
0,765,499,0.16965097301346338
0,785,479,0.17408629256937092
5,793,466,0.17586042039173394
7,810,447,0.17963044201425535
4,831,429,0.18428752754795824
9,840,415,0.18628342134811665
52,789,423,0.17497335648055243
59,767,438,0.17009450496905415
63,759,442,0.16832037714669112
49,767,448,0.17009450496905415
28,787,449,0.17452982452496169
0,820,444,0.18184810179220914
0,843,421,0.1869487192815028
1,866,397,0.19204933677079647
1,895,368,0.19848055012686242
1,919,344,0.20380293359395144
2,939,323,0.20823825314985897
7,943,314,0.20912531706104048
23,939,302,0.20823825314985897
17,938,309,0.20801648717206359
3,965,296,0.2140041685725388
2,976,286,0.21644359432828794
6,992,266,0.21999184997301394
11,1006,247,0.22309657366214924
26,992,246,0.21999184997301394
69,928,267,0.20579882739410985
83,878,303,0.19471052850434098
94,826,344,0.1831786976589814
86,799,379,0.1771910162585062
64,793,407,0.17586042039173394
30,802,432,0.17785631419189235
10,812,442,0.1800739739698461
2,822,440,0.18229163374779989
0,838,426,0.1858398893925259
0,862,402,0.19116227285961496
1,875,388,0.19404523057095488
0,890,374,0.19737172023788552
0,906,358,0.20091997588261154
1,926,337,0.20535529543851908
2,938,324,0.20801648717206359
0,955,309,0.21178650879458505
13,952,299,0.2111212108611989
37,924,303,0.20491176348292833
38,919,307,0.20380293359395144
24,925,315,0.20513352946072372
9,940,315,0.20846001912765436
0,954,310,0.21156474281678964
1,971,292,0.21533476443931104
0,991,273,0.21977008399521858
2,1001,261,0.22198774377317235
1,1013,250,0.22464893550671688
0,1028,236,0.22797542517364752
3,1041,220,0.23085838288498742
7,1044,213,0.23152368081837355
37,1011,216,0.22420540355112611
87,939,238,0.20823825314985897
130,855,279,0.18960991101504732
200,743,321,0.1647721215019651
256,631,377,0.1399343319888829
250,579,435,0.12840250114352328
208,565,491,0.125297777454388
175,546,543,0.12108422387627585
90,577,597,0.1279589691879325
33,604,627,0.13394665058840768
