active,quiet,arrested,tension
0,885,225,0.1484354778209827
0,899,211,0.15078360967351806
0,914,196,0.15329946522980586
3,910,197,0.15262857041479577
9,903,198,0.15145450448852812
5,907,198,0.15212539930353822
9,911,190,0.15279629411854834
0,924,186,0.1549767022673311
1,928,181,0.15564759708234122
13,922,175,0.15464125485982605
55,875,180,0.14675824078345748
92,799,219,0.13401123929826575
85,762,263,0.12780546225942238
65,746,299,0.12512188299938204
39,743,328,0.12461871188812448
20,745,345,0.1249541592956295
7,763,340,0.12797318596317492
0,778,332,0.13048904151946275
0,795,315,0.13334034448325566
0,802,308,0.1345144104095233
0,813,297,0.13635937115080105
1,832,277,0.139546121522099
2,850,258,0.14256514818964441
10,851,249,0.14273287189339695
3,861,246,0.14441010893092218
0,872,238,0.1462550696721999
0,888,222,0.1489386489322403
0,904,206,0.15162222819228063
1,921,188,0.15447353115607354
1,928,181,0.15564759708234122
0,938,172,0.15732483411986645
0,954,156,0.1600084133799068
6,962,142,0.16135020300992697
16,947,147,0.1588343474536391
42,918,150,0.15397036004481596
96,834,180,0.13988156892960404
151,725,234,0.12159968522057905
187,642,281,0.10767861780911966
183,605,322,0.10147284077027631
142,601,367,0.10080194595526623
87,624,399,0.10465959114157426
36,643,431,0.10784634151287219
13,664,433,0.11136853929167517
1,685,424,0.11489073707047814
2,701,407,0.1175743163305185
0,726,384,0.12176740892433158
5,731,374,0.1226060274430942
2,748,360,0.12545733040688709
0,762,348,0.12780546225942238
0,779,331,0.13065676522321532
4,794,312,0.13317262077950312
4,800,306,0.1341789630020183
2,810,298,0.13585620003954352
0,828,282,0.13887522670708893
2,846,262,0.14189425337463432
2,865,243,0.14508100374593225
0,888,222,0.1489386489322403
0,902,208,0.1512867807847756
0,911,199,0.15279629411854834
3,924,183,0.1549767022673311
26,899,185,0.15078360967351806
58,858,194,0.1439069378196646
88,797,225,0.1336757918907607
108,734,268,0.12310919855435178
118,687,305,0.11522618447798319
93,672,345,0.11271032892169536
50,685,375,0.11489073707047814
22,694,394,0.11640025040425087
9,714,387,0.11975472447930131
3,729,378,0.12227058003558915
0,747,363,0.12528960670313458
0,770,340,0.1291472518894426
1,795,314,0.13334034448325566
1,808,301,0.13552075263203847
12,801,297,0.1343466867057708
7,801,302,0.1343466867057708
7,800,303,0.1341789630020183
11,809,290,0.13568847633579098
16,810,284,0.13585620003954352
20,802,288,0.1345144104095233
12,802,296,0.1345144104095233
3,818,289,0.1371979896695637
1,840,269,0.1408879111521192
10,844,256,0.14155880596712928
5,854,251,0.1432360430046545
11,854,245,0.1432360430046545
21,851,238,0.14273287189339695
44,820,246,0.13753343707706875
51,793,266,0.1330048970757506
42,781,287,0.13099221263072036
42,762,306,0.12780546225942238
27,773,310,0.12965042300070015
16,780,314,0.13082448892696782
14,783,313,0.13132766003822538
8,800,302,0.1341789630020183
3,812,295,0.13619164744704854
1,835,274,0.14004929263335655
2,850,258,0.14256514818964441
13,841,256,0.14105563485587172
25,826,259,0.13853977929958386
14,822,274,0.13786888448457377
6,827,277,0.1387075030033364
4,835,271,0.14004929263335655
0,857,253,0.14373921411591206
0,869,241,0.14575189856094237
0,883,227,0.14810003041347766
2,895,213,0.15011271485850794
11,890,209,0.14927409633974534
20,886,204,0.14860320152473522
21,875,214,0.14675824078345748
39,847,224,0.14206197707838683
56,809,245,0.13568847633579098
51,794,265,0.13317262077950312
56,770,284,0.1291472518894426
34,771,305,0.12931497559319513
14,795,301,0.13334034448325566
10,806,294,0.1351853052245334
8,814,288,0.13652709485455358
1,830,279,0.13921067411459398
3,844,263,0.14155880596712928
3,863,244,0.1447455563384272
0,877,233,0.14709368819096255
24,867,219,0.1454164511534373
18,871,221,0.1460873459684474
12,876,222,0.14692596448721001
13,873,224,0.14642279337595243
3,877,230,0.14709368819096255
1,884,225,0.14826775411723017
2,895,213,0.15011271485850794
0,903,207,0.15145450448852812
1,918,191,0.15397036004481596
0,935,175,0.15682166300860884
5,934,171,0.15665393930485633
6,928,176,0.15564759708234122
3,930,177,0.15598304448984626
0,941,169,0.157828005231124
38,906,166,0.15195767559978568
49,877,184,0.14709368819096255
102,796,212,0.13350806818700817
148,707,255,0.11858065855303365
146,672,292,0.11271032892169536
114,676,320,0.11338122373670544
81,678,351,0.11371667114421048
