active,quiet,arrested,tension
1,898,211,0.1506158859697655
3,906,201,0.15195767559978568
9,906,195,0.15195767559978568
10,907,193,0.15212539930353822
6,922,182,0.15464125485982605
9,926,175,0.15531214967483614
7,933,170,0.1564862156011038
15,921,174,0.15447353115607354
11,925,174,0.15514442597108363
11,923,176,0.1548089785635786
11,923,176,0.1548089785635786
44,879,187,0.1474291355984676
102,796,212,0.13350806818700817
139,722,249,0.1210965141093215
126,697,287,0.11690342151550842
80,708,322,0.11874838225678618
50,713,347,0.11958700077554879
29,716,365,0.12009017188680635
25,720,365,0.12076106670181645
25,724,361,0.12143196151682654
14,742,354,0.12445098818437193
16,747,347,0.12528960670313458
11,758,341,0.12713456744441232
8,764,338,0.12814090966692743
3,785,322,0.13166310744573043
4,795,311,0.13334034448325566
1,813,296,0.13635937115080105
1,820,289,0.13753343707706875
2,839,269,0.14072018744836667
0,852,258,0.14290059559714946
0,863,247,0.1447455563384272
1,878,231,0.14726141189471506
0,886,224,0.14860320152473522
15,878,217,0.14726141189471506
17,877,216,0.14709368819096255
11,878,221,0.14726141189471506
1,894,215,0.1499449911547554
0,910,200,0.15262857041479577
0,928,182,0.15564759708234122
2,942,166,0.1579957289348765
5,951,154,0.15950524226864923
21,937,152,0.1571571104161139
38,916,156,0.1536349126373109
58,882,170,0.14793230670972513
60,860,190,0.14424238522716964
69,819,222,0.1373657133733162
57,804,249,0.13484985781702835
20,816,274,0.13686254226205866
4,830,276,0.13921067411459398
1,842,267,0.14122335855962423
0,848,262,0.14222970078213937
0,860,250,0.14424238522716964
0,875,235,0.14675824078345748
3,885,222,0.1484354778209827
1,896,213,0.15028043856226045
0,900,210,0.15095133337727057
1,905,204,0.15178995189603317
3,913,194,0.15313174152605336
2,917,191,0.15380263634106345
2,924,184,0.1549767022673311
0,933,177,0.1564862156011038
5,934,171,0.15665393930485633
3,941,166,0.157828005231124
0,948,162,0.15900207115739168
3,951,156,0.15950524226864923
38,910,162,0.15262857041479577
