index,citizen_density,cop_density,legitimacy,active_threshold,cv
0,0.41875,0.033906250000000006,0.7554687500000001,0.29609375,0
1,0.45625000000000004,0.033906250000000006,0.7554687500000001,0.29609375,0
2,0.41875,0.09296875,0.7554687500000001,0.29609375,0
3,0.41875,0.033906250000000006,0.82953125,0.29609375,0
4,0.41875,0.033906250000000006,0.7554687500000001,0.35234375,0
5,0.41875,0.09296875,0.82953125,0.35234375,0
6,0.45625000000000004,0.033906250000000006,0.82953125,0.35234375,0
7,0.45625000000000004,0.09296875,0.7554687500000001,0.35234375,0
8,0.45625000000000004,0.09296875,0.82953125,0.29609375,0
9,0.45625000000000004,0.09296875,0.82953125,0.35234375,0
10,0.61875,0.07890625,0.36046875,0.07109375000000001,2.9101804697415625
11,0.65625,0.07890625,0.36046875,0.07109375000000001,2.131670774027611
12,0.61875,0.047968750000000004,0.36046875,0.07109375000000001,1.495984766245082
13,0.61875,0.07890625,0.43453125000000004,0.07109375000000001,2.2532813780163337
14,0.61875,0.07890625,0.36046875,0.12734375,4.26617229310538
15,0.61875,0.047968750000000004,0.43453125000000004,0.12734375,1.479475429005112
16,0.65625,0.07890625,0.43453125000000004,0.12734375,2.4325443371263846
17,0.65625,0.047968750000000004,0.36046875,0.12734375,1.4256795519193577
18,0.65625,0.047968750000000004,0.43453125000000004,0.07109375000000001,1.2656023657336184
19,0.65625,0.047968750000000004,0.43453125000000004,0.12734375,2.135024129402396
20,0.71875,0.01140625,0.9529687500000001,0.40859375,0
21,0.7562500000000001,0.01140625,0.9529687500000001,0.40859375,0
22,0.71875,0.025468750000000002,0.9529687500000001,0.40859375,0
23,0.71875,0.01140625,0.63203125,0.40859375,0
24,0.71875,0.01140625,0.9529687500000001,0.23984375000000002,0
25,0.71875,0.025468750000000002,0.63203125,0.23984375000000002,1.2838139510390698
26,0.7562500000000001,0.01140625,0.63203125,0.23984375000000002,0.9235304520980557
27,0.7562500000000001,0.025468750000000002,0.9529687500000001,0.23984375000000002,0
28,0.7562500000000001,0.025468750000000002,0.63203125,0.40859375,0
29,0.7562500000000001,0.025468750000000002,0.63203125,0.23984375000000002,1.1197386865378542
30,0.51875,0.056406250000000005,0.55796875,0.18359375,2.1750612643002114
31,0.55625,0.056406250000000005,0.55796875,0.18359375,2.6584743554108843
32,0.51875,0.07046875000000001,0.55796875,0.18359375,2.771468403930888
33,0.51875,0.056406250000000005,0.23703125000000003,0.18359375,2.3117574000846743
34,0.51875,0.056406250000000005,0.55796875,0.46484375,0
35,0.51875,0.07046875000000001,0.23703125000000003,0.46484375,2.1077046546132245
36,0.55625,0.056406250000000005,0.23703125000000003,0.46484375,2.3346248193884884
37,0.55625,0.07046875000000001,0.55796875,0.46484375,0
38,0.55625,0.07046875000000001,0.23703125000000003,0.18359375,4.236519486974638
39,0.55625,0.07046875000000001,0.23703125000000003,0.46484375,2.508913638725502
40,0.5687500000000001,0.022656250000000003,0.26171875,0.23984375000000002,0.40422613634103904
41,0.5062500000000001,0.022656250000000003,0.26171875,0.23984375000000002,1.240482894730709
42,0.5687500000000001,0.08171875,0.26171875,0.23984375000000002,4.32612778308141
43,0.5687500000000001,0.022656250000000003,0.7307812499999999,0.23984375000000002,1.0620342345680738
44,0.5687500000000001,0.022656250000000003,0.26171875,0.18359375,0.38673268149744033
45,0.5687500000000001,0.08171875,0.7307812499999999,0.18359375,5.275686807149256
46,0.5062500000000001,0.022656250000000003,0.7307812499999999,0.18359375,1.529818511669101
47,0.5062500000000001,0.08171875,0.26171875,0.18359375,3.5783804127787273
48,0.5062500000000001,0.08171875,0.7307812499999999,0.23984375000000002,4.0197532065518855
49,0.5062500000000001,0.08171875,0.7307812499999999,0.18359375,3.1561951388354577
50,0.76875,0.06765625,0.65671875,0.46484375,0
51,0.70625,0.06765625,0.65671875,0.46484375,0
52,0.76875,0.03671875,0.65671875,0.46484375,0
53,0.76875,0.06765625,0.33578125000000003,0.46484375,2.931526866352646
54,0.76875,0.06765625,0.65671875,0.40859375,0
55,0.76875,0.03671875,0.33578125000000003,0.40859375,1.8904821905513685
56,0.70625,0.06765625,0.33578125000000003,0.40859375,2.17169333512569
57,0.70625,0.03671875,0.65671875,0.40859375,0
58,0.70625,0.03671875,0.33578125000000003,0.46484375,1.8909328633893847
59,0.70625,0.03671875,0.33578125000000003,0.40859375,1.9371558113756338
60,0.66875,0.04515625000000001,0.45921875,0.12734375,1.4491769708562292
61,0.6062500000000001,0.04515625000000001,0.45921875,0.12734375,1.8610906497807582
62,0.66875,0.01421875,0.45921875,0.12734375,0.14271877575366826
63,0.66875,0.04515625000000001,0.92828125,0.12734375,0
64,0.66875,0.04515625000000001,0.45921875,0.29609375,2.2148576449151545
65,0.66875,0.01421875,0.92828125,0.29609375,0
66,0.6062500000000001,0.04515625000000001,0.92828125,0.29609375,0
67,0.6062500000000001,0.01421875,0.45921875,0.29609375,0.4802090465797804
68,0.6062500000000001,0.01421875,0.92828125,0.12734375,0
69,0.6062500000000001,0.01421875,0.92828125,0.29609375,0
70,0.46875,0.09015625000000001,0.85421875,0.35234375,0
71,0.40625,0.09015625000000001,0.85421875,0.35234375,0
72,0.46875,0.05921875000000001,0.85421875,0.35234375,0
73,0.46875,0.09015625000000001,0.53328125,0.35234375,3.7021344048188887
74,0.46875,0.09015625000000001,0.85421875,0.07109375000000001,3.171321247543086
75,0.46875,0.05921875000000001,0.53328125,0.07109375000000001,1.7682700409987695
