active,quiet,arrested,tension
0,862,248,0.14457783263467466
1,878,231,0.14726141189471506
1,893,216,0.1497772674510029
0,904,206,0.15162222819228063
0,926,184,0.15531214967483614
0,948,162,0.15900207115739168
0,967,143,0.16218882152868958
0,985,125,0.165207848196235
0,998,112,0.1673882563450178
1,1010,99,0.16940094079004808
0,1020,90,0.1710781778275733
0,1025,85,0.17191679634633592
0,1032,78,0.17309086227260356
1,1036,73,0.17376175708761366
0,1039,71,0.17426492819887124
0,1043,67,0.1749358230138813
0,1046,64,0.1754389941251389
0,1051,59,0.1762776126439015
0,1054,56,0.17678078375515907
1,1060,49,0.17778712597767424
0,1062,48,0.17812257338517926
25,1032,53,0.17309086227260356
31,1001,78,0.16789142745627536
115,874,121,0.14659051707970494
290,613,207,0.10281463040029651
241,577,292,0.09677657706520568
158,584,368,0.09795064299147334
57,605,448,0.10147284077027631
0,639,471,0.1071754466978621
0,661,449,0.1108653681804176
0,677,433,0.11354894744045796
0,692,418,0.11606480299674579
1,708,401,0.11874838225678618
0,729,381,0.12227058003558915
0,746,364,0.12512188299938204
0,760,350,0.12747001485191736
1,774,335,0.12981814670445266
0,793,317,0.1330048970757506
1,807,302,0.13535302892828593
0,821,289,0.13770116078082126
0,837,273,0.1403847400408616
0,856,254,0.14357149041215955
0,872,238,0.1462550696721999
0,893,217,0.1497772674510029
0,902,208,0.1512867807847756
0,916,194,0.1536349126373109
0,938,172,0.15732483411986645
0,952,158,0.15967296597240174
0,968,142,0.1623565452324421
1,986,123,0.16537557189998753
2,996,112,0.16705280893751276
0,1015,95,0.17023955930881068
0,1031,79,0.17292313856885103
0,1052,58,0.17644533634765402
2,1064,44,0.1784580207926843
0,1078,32,0.18080615264521963
0,1081,29,0.18130932375647718
0,1089,21,0.18265111338649737
33,1036,41,0.17376175708761366
80,947,83,0.1588343474536391
236,704,170,0.11807748744177608
265,587,258,0.09845381410273091
179,587,344,0.09845381410273091
84,604,422,0.1013051170665238
25,624,461,0.10465959114157426
3,647,460,0.10851723632788228
1,670,439,0.11237488151419031
0,687,423,0.11522618447798319
1,702,407,0.11774204003427102
0,715,395,0.11992244818305382
0,737,373,0.12361236966560933
0,755,355,0.12663139633315476
0,771,339,0.12931497559319513
0,784,326,0.1314953837419779
0,802,308,0.1345144104095233
0,820,290,0.13753343707706875
0,835,275,0.14004929263335655
0,850,260,0.14256514818964441
0,866,244,0.14524872744968478
0,879,231,0.1474291355984676
0,896,214,0.15028043856226045
0,909,201,0.15246084671104326
0,921,189,0.15447353115607354
0,933,177,0.1564862156011038
1,949,160,0.1591697948611442
2,965,143,0.16185337412118453
1,984,125,0.16504012449248248
0,998,112,0.1673882563450178
0,1012,98,0.1697363881975531
27,997,86,0.16722053264126527
115,877,118,0.14709368819096255
273,650,187,0.10902040743913984
266,578,266,0.0969443007689582
184,582,344,0.09761519558396829
86,598,426,0.10029877484400866
1,627,482,0.10516276225283182
0,644,466,0.10801406521662471
0,669,441,0.11220715781043777
0,685,425,0.11489073707047814
0,698,412,0.11707114521926094
0,720,390,0.12076106670181645
0,736,374,0.12344464596185681
0,755,355,0.12663139633315476
1,771,338,0.12931497559319513
0,786,324,0.13183083114948294
17,781,312,0.13099221263072036
24,780,306,0.13082448892696782
1,796,313,0.13350806818700817
0,816,294,0.13686254226205866
0,837,273,0.1403847400408616
0,853,257,0.14306831930090197
0,871,239,0.1460873459684474
11,875,224,0.14675824078345748
2,891,217,0.14944182004349787
0,903,207,0.15145450448852812
0,920,190,0.15430580745232103
0,935,175,0.15682166300860884
0,950,160,0.15933751856489672
0,972,138,0.1630274400474522
0,990,120,0.16604646671499762
0,1003,107,0.1682268748637804
1,1025,84,0.17191679634633592
0,1038,72,0.1740972044951187
0,1054,56,0.17678078375515907
0,1065,45,0.1786257444964368
0,1070,40,0.17946436301519947
21,1042,47,0.1747680993101288
76,952,82,0.15967296597240174
288,652,170,0.1093558548466449
273,580,257,0.09727974817646325
183,582,345,0.09761519558396829
89,595,426,0.09979560373275109
6,629,475,0.10549820966033686
0,645,465,0.10818178892037722
0,664,446,0.11136853929167517
0,691,419,0.11589707929299327
0,708,402,0.11874838225678618
0,726,384,0.12176740892433158
0,743,367,0.12461871188812448
0,761,349,0.1276377385556699
0,775,335,0.1299858704082052
0,794,316,0.13317262077950312
1,816,293,0.13686254226205866
0,835,275,0.14004929263335655
0,852,258,0.14290059559714946
5,856,249,0.14357149041215955
0,877,233,0.14709368819096255
0,891,219,0.14944182004349787
1,908,201,0.15229312300729073
4,924,182,0.1549767022673311
22,915,173,0.1534671889335584
23,903,184,0.15145450448852812
0,918,192,0.15397036004481596
0,928,182,0.15564759708234122
0,943,167,0.15816345263862902
0,955,155,0.1601761370836593
0,968,142,0.1623565452324421
0,986,124,0.16537557189998753
0,999,111,0.16755598004877034
0,1012,98,0.1697363881975531
18,1006,86,0.16873004597503796
53,959,98,0.1608470318986694
178,779,153,0.13065676522321532
278,594,238,0.09962788002899857
207,580,323,0.09727974817646325
106,596,408,0.0999633274365036
24,624,462,0.10465959114157426
0,647,463,0.10851723632788228
0,659,451,0.11052992077291256
0,678,432,0.11371667114421048
0,700,410,0.11740659262676598
2,716,392,0.12009017188680635
1,734,375,0.12310919855435178
0,744,366,0.124786435591877
1,764,345,0.12814090966692743
0,778,332,0.13048904151946275
0,796,314,0.13350806818700817
0,808,302,0.13552075263203847
0,830,280,0.13921067411459398
0,849,261,0.14239742448589188
0,868,242,0.14558417485718983
0,879,231,0.1474291355984676
0,901,209,0.1511190570810231
0,917,193,0.15380263634106345
0,935,175,0.15682166300860884
0,954,156,0.1600084133799068
0,973,137,0.1631951637512047
0,987,123,0.16554329560374004
0,1000,110,0.16772370375252285
0,1005,105,0.16856232227128545
0,1018,92,0.17074273042006824
0,1040,70,0.17443265190262375
0,1051,59,0.1762776126439015
0,1061,49,0.17795484968142672
0,1074,36,0.18013525783020953
0,1082,28,0.18147704746022972
1,1089,20,0.18265111338649737
0,1091,19,0.18298656079400238
0,1091,19,0.18298656079400238
0,1091,19,0.18298656079400238
0,1091,19,0.18298656079400238
0,1091,19,0.18298656079400238
9,1079,22,0.18097387634897213
57,1009,44,0.16923321708629557
187,806,117,0.1351853052245334
321,584,205,0.09795064299147334
237,578,295,0.0969443007689582
147,581,382,0.09744747188021577
53,599,458,0.1004664985477612
0,627,483,0.10516276225283182
0,645,465,0.10818178892037722
0,663,447,0.11120081558792265
0,673,437,0.11287805262544788
0,692,418,0.11606480299674579
0,709,401,0.1189161059605387
0,732,378,0.12277375114684673
1,750,359,0.12579277781439213
0,762,348,0.12780546225942238
0,778,332,0.13048904151946275
0,791,319,0.1326694496682456
6,796,308,0.13350806818700817
13,797,300,0.1336757918907607
7,810,293,0.13585620003954352
0,830,280,0.13921067411459398
7,839,264,0.14072018744836667
0,855,255,0.14340376670840702
0,866,244,0.14524872744968478
0,891,219,0.14944182004349787
1,913,196,0.15313174152605336
0,931,179,0.15615076819359877
0,952,158,0.15967296597240174
0,973,137,0.1631951637512047
0,988,122,0.16571101930749257
0,1006,104,0.16873004597503796
0,1018,92,0.17074273042006824
0,1033,77,0.1732585859763561
0,1050,60,0.176109888940149
0,1059,51,0.1776194022739217
0,1065,45,0.1786257444964368
24,1035,51,0.17359403338386115
107,907,96,0.15212539930353822
307,620,183,0.10398869632656414
255,578,277,0.0969443007689582
158,590,362,0.09895698521398849
66,608,436,0.10197601188153388
0,636,474,0.10667227558660453
0,657,453,0.1101944733654075
0,670,440,0.11237488151419031
1,687,422,0.11522618447798319
0,706,404,0.11841293484928113
0,730,380,0.12243830373934168
4,740,366,0.12411554077686689
