citizen_density,cop_density,cop_vision,citizen_vision,legitimacy,max_jail_term,active_threshold,Active
0.6140625,0.033906250000000006,5.21875,4.28125,0.56890625,27.734375,0.16953125000000002,67
0.8015625,0.033906250000000006,5.21875,4.28125,0.56890625,27.734375,0.16953125000000002,105
0.6140625,0.09859375000000001,5.21875,4.28125,0.56890625,27.734375,0.16953125000000002,2
0.6140625,0.033906250000000006,1.28125,4.28125,0.56890625,27.734375,0.16953125000000002,301
0.6140625,0.033906250000000006,5.21875,3.34375,0.56890625,27.734375,0.16953125000000002,22
0.6140625,0.033906250000000006,5.21875,4.28125,0.96703125,27.734375,0.16953125000000002,0
0.6140625,0.033906250000000006,5.21875,4.28125,0.56890625,14.140625,0.16953125000000002,196
0.6140625,0.033906250000000006,5.21875,4.28125,0.56890625,27.734375,0.19765625000000003,52
0.6140625,0.09859375000000001,1.28125,3.34375,0.96703125,14.140625,0.19765625000000003,0
0.8015625,0.033906250000000006,1.28125,3.34375,0.96703125,14.140625,0.19765625000000003,0
0.8015625,0.09859375000000001,5.21875,3.34375,0.96703125,14.140625,0.19765625000000003,0
0.8015625,0.09859375000000001,1.28125,4.28125,0.96703125,14.140625,0.19765625000000003,0
0.8015625,0.09859375000000001,1.28125,3.34375,0.56890625,14.140625,0.19765625000000003,286
0.8015625,0.09859375000000001,1.28125,3.34375,0.96703125,27.734375,0.19765625000000003,0
0.8015625,0.09859375000000001,1.28125,3.34375,0.96703125,14.140625,0.16953125000000002,0
0.8015625,0.09859375000000001,1.28125,3.34375,0.96703125,14.140625,0.19765625000000003,0
0.7640625,0.07890625,2.21875,1.28125,0.81390625,13.234375,0.09453125000000001,156
0.6515625,0.07890625,2.21875,1.28125,0.81390625,13.234375,0.09453125000000001,134
0.7640625,0.05359375000000001,2.21875,1.28125,0.81390625,13.234375,0.09453125000000001,193
0.7640625,0.07890625,4.28125,1.28125,0.81390625,13.234375,0.09453125000000001,46
0.7640625,0.07890625,2.21875,6.34375,0.81390625,13.234375,0.09453125000000001,38
0.7640625,0.07890625,2.21875,1.28125,0.72203125,13.234375,0.09453125000000001,219
0.7640625,0.07890625,2.21875,1.28125,0.81390625,28.640625,0.09453125000000001,71
0.7640625,0.07890625,2.21875,1.28125,0.81390625,13.234375,0.12265625000000001,91
0.7640625,0.05359375000000001,4.28125,6.34375,0.72203125,28.640625,0.12265625000000001,52
0.6515625,0.07890625,4.28125,6.34375,0.72203125,28.640625,0.12265625000000001,1
0.6515625,0.05359375000000001,2.21875,6.34375,0.72203125,28.640625,0.12265625000000001,81
0.6515625,0.05359375000000001,4.28125,1.28125,0.72203125,28.640625,0.12265625000000001,28
0.6515625,0.05359375000000001,4.28125,6.34375,0.81390625,28.640625,0.12265625000000001,14
0.6515625,0.05359375000000001,4.28125,6.34375,0.72203125,13.234375,0.12265625000000001,125
0.6515625,0.05359375000000001,4.28125,6.34375,0.72203125,28.640625,0.09453125000000001,40
0.6515625,0.05359375000000001,4.28125,6.34375,0.72203125,28.640625,0.12265625000000001,11
0.8390625,0.01140625,6.71875,5.78125,0.93640625,5.984375,0.13203125000000002,0
0.7265625,0.01140625,6.71875,5.78125,0.93640625,5.984375,0.13203125000000002,0
0.8390625,0.031093750000000003,6.71875,5.78125,0.93640625,5.984375,0.13203125000000002,0
0.8390625,0.01140625,5.78125,5.78125,0.93640625,5.984375,0.13203125000000002,0
0.8390625,0.01140625,6.71875,4.84375,0.93640625,5.984375,0.13203125000000002,0
0.8390625,0.01140625,6.71875,5.78125,0.59953125,5.984375,0.13203125000000002,806
0.8390625,0.01140625,6.71875,5.78125,0.93640625,6.890625,0.13203125000000002,0
0.8390625,0.01140625,6.71875,5.78125,0.93640625,5.984375,0.16015625,0
0.8390625,0.031093750000000003,5.78125,4.84375,0.59953125,6.890625,0.16015625,674
0.7265625,0.01140625,5.78125,4.84375,0.59953125,6.890625,0.16015625,650
0.7265625,0.031093750000000003,6.71875,4.84375,0.59953125,6.890625,0.16015625,502
0.7265625,0.031093750000000003,5.78125,5.78125,0.59953125,6.890625,0.16015625,494
0.7265625,0.031093750000000003,5.78125,4.84375,0.93640625,6.890625,0.16015625,0
0.7265625,0.031093750000000003,5.78125,4.84375,0.59953125,5.984375,0.16015625,557
0.7265625,0.031093750000000003,5.78125,4.84375,0.59953125,6.890625,0.13203125000000002,462
0.7265625,0.031093750000000003,5.78125,4.84375,0.59953125,6.890625,0.16015625,497
0.6890625,0.056406250000000005,3.71875,2.78125,0.69140625,20.484375,0.057031250000000006,178
0.8765625,0.056406250000000005,3.71875,2.78125,0.69140625,20.484375,0.057031250000000006,192
0.6890625,0.07609375,3.71875,2.78125,0.69140625,20.484375,0.057031250000000006,89
0.6890625,0.056406250000000005,2.78125,2.78125,0.69140625,20.484375,0.057031250000000006,117
0.6890625,0.056406250000000005,3.71875,1.84375,0.69140625,20.484375,0.057031250000000006,132
0.6890625,0.056406250000000005,3.71875,2.78125,0.84453125,20.484375,0.057031250000000006,100
0.6890625,0.056406250000000005,3.71875,2.78125,0.69140625,21.390625,0.057031250000000006,139
0.6890625,0.056406250000000005,3.71875,2.78125,0.69140625,20.484375,0.08515625000000002,64
0.6890625,0.07609375,2.78125,1.84375,0.84453125,21.390625,0.08515625000000002,39
0.8765625,0.056406250000000005,2.78125,1.84375,0.84453125,21.390625,0.08515625000000002,79
0.8765625,0.07609375,3.71875,1.84375,0.84453125,21.390625,0.08515625000000002,36
0.8765625,0.07609375,2.78125,2.78125,0.84453125,21.390625,0.08515625000000002,60
0.8765625,0.07609375,2.78125,1.84375,0.69140625,21.390625,0.08515625000000002,171
0.8765625,0.07609375,2.78125,1.84375,0.84453125,20.484375,0.08515625000000002,39
0.8765625,0.07609375,2.78125,1.84375,0.84453125,21.390625,0.057031250000000006,110
0.8765625,0.07609375,2.78125,1.84375,0.84453125,21.390625,0.08515625000000002,61
0.7265625,0.022656250000000003,1.46875,3.53125,0.63015625,24.109375,0.15078125000000003,501
0.6890625,0.022656250000000003,1.46875,3.53125,0.63015625,24.109375,0.15078125000000003,414
0.7265625,0.01984375,1.46875,3.53125,0.63015625,24.109375,0.15078125000000003,392
0.7265625,0.022656250000000003,5.03125,3.53125,0.63015625,24.109375,0.15078125000000003,277
0.7265625,0.022656250000000003,1.46875,4.09375,0.63015625,24.109375,0.15078125000000003,503
0.7265625,0.022656250000000003,1.46875,3.53125,0.7832812499999999,24.109375,0.15078125000000003,184
0.7265625,0.022656250000000003,1.46875,3.53125,0.63015625,3.265625,0.15078125000000003,574
0.7265625,0.022656250000000003,1.46875,3.53125,0.63015625,24.109375,0.10390625,550
0.7265625,0.01984375,5.03125,4.09375,0.7832812499999999,3.265625,0.10390625,516
0.6890625,0.022656250000000003,5.03125,4.09375,0.7832812499999999,3.265625,0.10390625,488
0.6890625,0.01984375,1.46875,4.09375,0.7832812499999999,3.265625,0.10390625,520
0.6890625,0.01984375,5.03125,3.53125,0.7832812499999999,3.265625,0.10390625,517
0.6890625,0.01984375,5.03125,4.09375,0.63015625,3.265625,0.10390625,721
0.6890625,0.01984375,5.03125,4.09375,0.7832812499999999,24.109375,0.10390625,122
0.6890625,0.01984375,5.03125,4.09375,0.7832812499999999,3.265625,0.15078125000000003,256
0.6890625,0.01984375,5.03125,4.09375,0.7832812499999999,3.265625,0.10390625,489
0.8765625,0.06765625,4.46875,6.53125,0.87515625,9.609375,0.07578125000000001,0
0.8390625,0.06765625,4.46875,6.53125,0.87515625,9.609375,0.07578125000000001,1
0.8765625,0.06484375,4.46875,6.53125,0.87515625,9.609375,0.07578125000000001,0
0.8765625,0.06765625,2.03125,6.53125,0.87515625,9.609375,0.07578125000000001,82
0.8765625,0.06765625,4.46875,1.09375,0.87515625,9.609375,0.07578125000000001,113
0.8765625,0.06765625,4.46875,6.53125,0.53828125,9.609375,0.07578125000000001,546
0.8765625,0.06765625,4.46875,6.53125,0.87515625,17.765625,0.07578125000000001,1
0.8765625,0.06765625,4.46875,6.53125,0.87515625,9.609375,0.17890625000000004,0
0.8765625,0.06484375,2.03125,1.09375,0.53828125,17.765625,0.17890625000000004,329
0.8390625,0.06765625,2.03125,1.09375,0.53828125,17.765625,0.17890625000000004,253
0.8390625,0.06484375,4.46875,1.09375,0.53828125,17.765625,0.17890625000000004,117
0.8390625,0.06484375,2.03125,6.53125,0.53828125,17.765625,0.17890625000000004,240
0.8390625,0.06484375,2.03125,1.09375,0.87515625,17.765625,0.17890625000000004,0
0.8390625,0.06484375,2.03125,1.09375,0.53828125,9.609375,0.17890625000000004,436
0.8390625,0.06484375,2.03125,1.09375,0.53828125,17.765625,0.07578125000000001,409
0.8390625,0.06484375,2.03125,1.09375,0.53828125,17.765625,0.17890625000000004,178
0.8015625,0.04515625000000001,2.96875,2.03125,0.75265625,2.359375,0.18828125,235
0.7640625,0.04515625000000001,2.96875,2.03125,0.75265625,2.359375,0.18828125,168
