time,active
0,0
1,3
2,6
3,9
4,2
5,2
6,6
7,4
8,6
9,2
10,1
11,5
12,5
13,5
14,11
15,8
16,16
17,22
18,51
19,74
20,92
21,85
22,80
23,71
24,79
25,100
26,141
27,170
28,191
29,172
30,180
31,177
32,172
33,176
34,158
35,159
36,183
37,219
38,249
39,243
40,249
41,254
42,253
43,247
44,257
45,230
46,240
47,238
48,276
49,294
50,325
51,393
52,439
53,504
54,554
55,567
56,576
57,569
58,566
59,567
60,578
61,567
62,565
63,546
64,548
65,562
66,572
67,558
68,558
69,552
70,569
71,564
72,566
73,575
74,575
75,571
76,563
77,573
78,552
79,567
80,570
81,564
82,572
83,575
84,566
85,570
86,552
87,555
88,564
89,565
90,568
91,552
92,562
93,569
94,564
95,569
96,578
97,560
98,549
99,539
100,525
101,538
102,548
103,563
104,566
105,568
106,570
107,554
108,556
109,573
110,576
111,562
112,572
113,569
114,566
115,572
116,578
117,567
118,568
119,571
120,572
121,561
122,546
123,555
124,559
125,575
126,573
127,572
128,567
129,565
130,572
131,572
132,570
133,558
134,557
135,561
136,575
137,572
138,566
139,550
140,550
141,565
142,573
143,551
144,545
145,518
146,517
147,520
148,502
149,506
150,481
151,471
152,481
153,462
154,443
155,424
156,403
157,392
158,372
159,371
160,374
161,360
162,333
163,328
164,343
165,371
166,393
167,390
168,408
169,476
170,535
171,562
172,576
173,570
174,570
175,561
176,559
177,559
178,569
179,569
180,566
181,574
182,568
183,578
184,569
185,570
186,562
187,572
188,564
189,564
190,563
191,564
192,572
193,562
194,559
195,568
196,572
197,566
198,577
199,565
200,570
201,566
202,570
203,561
204,556
205,564
206,572
207,568
208,565
209,565
210,563
211,565
212,558
213,563
214,566
215,562
216,565
217,567
218,560
219,569
220,574
221,561
222,563
223,560
224,566
225,558
226,563
227,553
228,563
229,564
230,564
231,563
232,569
233,562
234,572
235,572
236,567
237,569
238,570
239,574
240,575
241,575
242,570
243,569
244,566
245,569
246,573
247,568
248,566
249,565
250,566
251,570
252,572
253,571
254,565
255,569
256,566
257,563
258,565
259,574
260,572
261,570
262,559
263,557
264,537
265,563
266,562
267,565
268,574
269,574
270,564
271,558
272,576
273,571
274,563
275,563
276,565
277,572
278,567
279,571
280,567
281,570
282,571
283,561
284,550
285,567
286,567
287,557
288,552
289,551
290,536
291,544
292,560
293,562
294,565
295,561
296,564
297,558
298,556
299,560
300,556
301,542
302,558
303,568
304,568
305,571
306,563
307,576
308,568
309,552
310,556
311,569
312,571
313,560
314,565
315,563
316,567
317,566
318,576
319,557
320,559
321,562
322,566
323,546
324,562
325,553
326,547
327,562
328,560
