citizen_density,cop_density,legitimacy,active_threshold,cv
0.6281249999999999,0.052187500000000005,0.7296875,0.1765625,3.000404013199596
0.6281249999999999,0.052187500000000005,0.7603125,0.1484375,2.8474584594791934
0.6281249999999999,0.052187500000000005,0.7296875,0.1484375,1.4945820375280154
0.684375,0.052187500000000005,0.7296875,0.1484375,1.9088109955237291
0.684375,0.052187500000000005,0.7603125,0.1765625,2.449441691358712
0.6281249999999999,0.09718750000000001,0.7296875,0.1484375,2.6305892875931813
0.6281249999999999,0.09718750000000001,0.7603125,0.1765625,3.696845502136472
0.684375,0.09718750000000001,0.7296875,0.1765625,2.9955522584881296
0.684375,0.09718750000000001,0.7603125,0.1484375,2.770956638426795
0.684375,0.09718750000000001,0.7603125,0.1765625,8.06225774829855
0.778125,0.052187500000000005,0.9746874999999999,0.0734375,0
0.778125,0.052187500000000005,0.5153125,0.10156250000000001,1.2006277499457456
0.778125,0.09718750000000001,0.5153125,0.0734375,4.456655497430094
0.778125,0.09718750000000001,0.9746874999999999,0.0734375,0
0.778125,0.09718750000000001,0.9746874999999999,0.10156250000000001,0
0.834375,0.09718750000000001,0.9746874999999999,0.0734375,0
0.759375,0.029687500000000006,0.6071875,0.18593750000000003,0.3166389677923148
0.834375,0.052187500000000005,0.5153125,0.0734375,0.761865825747003
0.834375,0.052187500000000005,0.5153125,0.10156250000000001,1.192414467389278
0.834375,0.09718750000000001,0.5153125,0.10156250000000001,4.579679108658237
0.834375,0.052187500000000005,0.9746874999999999,0.10156250000000001,0
0.853125,0.029687500000000006,0.6071875,0.18593750000000003,0.6749815696079153
0.853125,0.029687500000000006,0.6071875,0.18593750000000003,1.0259305652973165
0.853125,0.029687500000000006,0.8828125,0.18593750000000003,0
0.759375,0.029687500000000006,0.6071875,0.06406250000000001,0.09940752971726709
0.759375,0.029687500000000006,0.8828125,0.06406250000000001,0.8982408482607993
0.853125,0.029687500000000006,0.8828125,0.06406250000000001,0.39897371298702294
0.853125,0.029687500000000006,0.6071875,0.06406250000000001,0.02435372959847711
0.759375,0.029687500000000006,0.8828125,0.06406250000000001,0.5473738825578192
0.759375,0.029687500000000006,0.8828125,0.18593750000000003,0
0.703125,0.0746875,0.8521875,0.11093750000000001,6.794775571661809
0.609375,0.0746875,0.8521875,0.11093750000000001,4.978076937934969
0.703125,0.0746875,0.8521875,0.11093750000000001,4.430011286667338
0.703125,0.0746875,0.6378125,0.11093750000000001,1.0654035834406947
0.609375,0.0746875,0.6378125,0.13906250000000003,1.5623733488041458
0.609375,0.0746875,0.8521875,0.13906250000000003,6.039990188856393
0.703125,0.0746875,0.6378125,0.13906250000000003,4.823200890903876
0.703125,0.0746875,0.8521875,0.13906250000000003,0
0.609375,0.0746875,0.6378125,0.13906250000000003,5.0047337640680745
0.609375,0.0746875,0.6378125,0.11093750000000001,2.0707442766818
0.646875,0.018437500000000002,0.9134375,0.0921875,0
0.740625,0.018437500000000002,0.9134375,0.0921875,0
0.740625,0.018437500000000002,0.9440625,0.0921875,0
0.740625,0.018437500000000002,0.9134375,0.08281250000000001,0.7018089022598688
0.740625,0.0859375,0.9134375,0.0921875,0
0.646875,0.018437500000000002,0.9440625,0.08281250000000001,0
0.740625,0.0859375,0.9440625,0.08281250000000001,0
0.646875,0.0859375,0.9134375,0.08281250000000001,0
0.646875,0.0859375,0.9440625,0.0921875,0
0.646875,0.0859375,0.9440625,0.08281250000000001,0
0.796875,0.06343750000000001,0.6684375,0.16718750000000002,3.496147924925282
0.890625,0.0409375,0.6684375,0.16718750000000002,1.2564320088090817
0.890625,0.06343750000000001,0.6684375,0.16718750000000002,2.625467692725116
0.890625,0.06343750000000001,0.6990625,0.16718750000000002,2.8229952309985125
0.890625,0.0409375,0.6990625,0.15781250000000002,0.8796295022809565
0.890625,0.06343750000000001,0.6684375,0.15781250000000002,2.6391488767352436
0.796875,0.0409375,0.6684375,0.15781250000000002,1.0557870131432148
0.796875,0.06343750000000001,0.6990625,0.15781250000000002,2.6199566635283658
0.796875,0.0409375,0.6990625,0.16718750000000002,1.3536070902104078
0.796875,0.0409375,0.6990625,0.15781250000000002,1.1605722664335323
0.815625,0.0409375,0.7909375000000001,0.0546875,1.0551972082057592
0.815625,0.0409375,0.8215625,0.0546875,0.5925422501624306
0.815625,0.018437500000000002,0.7909375000000001,0.0546875,0.027284700018419417
0.871875,0.0409375,0.7909375000000001,0.0546875,0.7546047600986161
0.815625,0.0409375,0.7909375000000001,0.1953125,2.226895861141271
0.815625,0.018437500000000002,0.8215625,0.1953125,0
0.665625,0.0859375,0.5459375,0.1296875,2.382307556387002
0.871875,0.018437500000000002,0.8215625,0.0546875,0.03563206020414707
0.721875,0.0859375,0.5459375,0.1296875,1.1333999756211561
0.871875,0.0409375,0.8215625,0.1953125,0
0.871875,0.018437500000000002,0.7909375000000001,0.1953125,0.7255603681751225
0.871875,0.018437500000000002,0.8215625,0.1953125,0
0.665625,0.06343750000000001,0.5459375,0.1296875,1.5081251603682502
0.665625,0.0859375,0.5765625,0.1296875,3.470322317104107
0.665625,0.0859375,0.5459375,0.12031250000000002,3.4644581070573386
0.665625,0.06343750000000001,0.5765625,0.12031250000000002,2.095068582170633
0.721875,0.06343750000000001,0.5459375,0.12031250000000002,1.7921626896474925
0.721875,0.06343750000000001,0.5765625,0.12031250000000002,1.8979704598616864
0.721875,0.06343750000000001,0.5765625,0.1296875,2.3276141544516697
0.721875,0.0859375,0.5765625,0.12031250000000002,4.507819450229648
0.646875,0.0240625,0.7603125,0.1765625,1.0372214178640577
0.853125,0.0240625,0.7603125,0.1765625,0.7193452239107514
0.646875,0.0240625,0.7603125,0.0734375,0.07790131933625925
0.646875,0.0240625,0.9746874999999999,0.1765625,0
0.646875,0.0690625,0.7603125,0.1765625,6.557438524302
